Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value,_id
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US 20,skus.customFields.size,US 20,"{""field"": ""skus.customFields.size"", ""value"": [""US 20""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US 4,skus.customFields.size,US 4,"{""field"": ""skus.customFields.size"", ""value"": [""US 4""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US 6,skus.customFields.size,US 6,"{""field"": ""skus.customFields.size"", ""value"": [""US 6""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US 8,skus.customFields.size,US 8,"{""field"": ""skus.customFields.size"", ""value"": [""US 8""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US L,skus.customFields.size,US L,"{""field"": ""skus.customFields.size"", ""value"": [""US L""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US M,skus.customFields.size,US M,"{""field"": ""skus.customFields.size"", ""value"": [""US M""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US S,skus.customFields.size,US S,"{""field"": ""skus.customFields.size"", ""value"": [""US S""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US XL,skus.customFields.size,US XL,"{""field"": ""skus.customFields.size"", ""value"": [""US XL""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US XS,skus.customFields.size,US XS,"{""field"": ""skus.customFields.size"", ""value"": [""US XS""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US XXL,skus.customFields.size,US XXL,"{""field"": ""skus.customFields.size"", ""value"": [""US XXL""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=US XXS,skus.customFields.size,US XXS,"{""field"": ""skus.customFields.size"", ""value"": [""US XXS""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.skus.customFields.size=XS/S,skus.customFields.size,XS/S,"{""field"": ""skus.customFields.size"", ""value"": [""XS/S""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.customFields.accentuate-nosto_facet_color=Beige,customFields.accentuate-nosto_facet_color,Beige,"{""field"": ""customFields.accentuate-nosto_facet_color"", ""value"": [""Beige""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.customFields.accentuate-nosto_facet_color=Black,customFields.accentuate-nosto_facet_color,Black,"{""field"": ""customFields.accentuate-nosto_facet_color"", ""value"": [""Black""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.customFields.accentuate-nosto_facet_color=Blue,customFields.accentuate-nosto_facet_color,Blue,"{""field"": ""customFields.accentuate-nosto_facet_color"", ""value"": [""Blue""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.customFields.accentuate-nosto_facet_color=Brown,customFields.accentuate-nosto_facet_color,Brown,"{""field"": ""customFields.accentuate-nosto_facet_color"", ""value"": [""Brown""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.customFields.accentuate-nosto_facet_color=Green,customFields.accentuate-nosto_facet_color,Green,"{""field"": ""customFields.accentuate-nosto_facet_color"", ""value"": [""Green""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.customFields.accentuate-nosto_facet_color=Grey,customFields.accentuate-nosto_facet_color,Grey,"{""field"": ""customFields.accentuate-nosto_facet_color"", ""value"": [""Grey""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.customFields.accentuate-nosto_facet_color=Orange,customFields.accentuate-nosto_facet_color,Orange,"{""field"": ""customFields.accentuate-nosto_facet_color"", ""value"": [""Orange""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.customFields.accentuate-nosto_facet_color=Pink,customFields.accentuate-nosto_facet_color,Pink,"{""field"": ""customFields.accentuate-nosto_facet_color"", ""value"": [""Pink""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.customFields.accentuate-nosto_facet_color=Red,customFields.accentuate-nosto_facet_color,Red,"{""field"": ""customFields.accentuate-nosto_facet_color"", ""value"": [""Red""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.customFields.accentuate-nosto_facet_color=White,customFields.accentuate-nosto_facet_color,White,"{""field"": ""customFields.accentuate-nosto_facet_color"", ""value"": [""White""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.customFields.accentuate-nosto_facet_color=Yellow,customFields.accentuate-nosto_facet_color,Yellow,"{""field"": ""customFields.accentuate-nosto_facet_color"", ""value"": [""Yellow""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.extra.Print=Animal Print,extra.Print,Animal Print,"{""field"": ""extra.Print"", ""value"": [""Animal Print""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.extra.Print=Floral,extra.Print,Floral,"{""field"": ""extra.Print"", ""value"": [""Floral""]}"
Clothing,Women,Western,Topwear,T-Shirts,https://us.princesspolly.com/collections/graphic-tees?filter.extra.Print=Stripe,extra.Print,Stripe,"{""field"": ""extra.Print"", ""value"": [""Stripe""]}"
