Display_Title,Item_Url,Original_Price,Selling_Price,Native_Product_Id,Brand,Category,Subcategory1,Subcategory2,Subcategory3,Product_Category,Referrer_Url
Maya Dress,https://www.revolve.com/lspace-maya-dress-in-very-peri/dp/LSPA-WD449/,150,102,LSPA-WD449,LSPACE,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Sophie Maxi Dress,https://www.revolve.com/the-andamane-sophie-maxi-dress-in-black/dp/ANDM-WD34/,455,319,ANDM-WD34,The Andamane,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Giselle Midi Dress,https://www.revolve.com/nbd-giselle-midi-dress-in-black/dp/NBDR-WD3074/,328,328,NBDR-WD3074,NBD,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Lizette Dress in Deviant,https://www.revolve.com/the-new-arrivals-by-ilkyaz-ozel-lizette-dress-in-deviant-in-dviant/dp/NARR-WD64/,650,455,NARR-WD64,The New Arrivals by Ilkyaz Ozel,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Mini Dress,https://www.revolve.com/gonza-mini-dress-in-magali/dp/GONR-WD11/,160,66,GONR-WD11,Gonza,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Marseille Dress,https://www.revolve.com/cami-nyc-marseille-dress-in-black/dp/CAMN-WD121/,395,178,CAMN-WD121,CAMI NYC,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Vina Dress,https://www.revolve.com/misa-los-angeles-vina-dress-in-citrus-slice/dp/MISA-WD795/,285,137,MISA-WD795,MISA Los Angeles,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Cozette Maxi Dress,https://www.revolve.com/nbd-cozette-maxi-dress-in-sand-neutral/dp/NBDR-WD3088/,278,139,NBDR-WD3088,NBD,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
X Revolve Camilla Gown,https://www.revolve.com/bronx-and-banco-x-revolve-camilla-gown-in-champagne/dp/BROR-WD567/,780,219,BROR-WD567,Bronx and Banco,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
X Revolve Midi Dress,https://www.revolve.com/hemant-and-nandita-x-revolve-midi-dress-in-blue-white/dp/BENE-WD377/,468,468,BENE-WD377,HEMANT AND NANDITA,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Rialto Dress,https://www.revolve.com/loveshackfancy-rialto-dress-in-red/dp/LESH-WD877/,765,765,LESH-WD877,LoveShackFancy,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Paloma Embellished Gown,https://www.revolve.com/nbd-paloma-embellished-gown-in-navy/dp/NBDR-WD2090/,398,375,NBDR-WD2090,NBD,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Lust One Shoulder Gown,https://www.revolve.com/nookie-lust-one-shoulder-gown-in-black/dp/NKIE-WD441/,299,299,NKIE-WD441,Nookie,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Mini Adele Dress,https://www.revolve.com/cinq-a-sept-mini-adele-dress-in-candy-apple/dp/CINR-WD403/,495,495,CINR-WD403,Cinq a Sept,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Hilton Midi Dress,https://www.revolve.com/nbd-hilton-midi-dress-in-baby-blue/dp/NBDR-WD3221/,228,215,NBDR-WD3221,NBD,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Treven Mini Dress,https://www.revolve.com/acler-treven-mini-dress-in-clover/dp/CELR-WD103/,395,395,CELR-WD103,Acler,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Talita Dress,https://www.revolve.com/amanda-uprichard-talita-dress-in-ivory/dp/AMAN-WD1044/,180,126,AMAN-WD1044,Amanda Uprichard,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
by Marianna Cassia Gown,https://www.revolve.com/lacademie-by-marianna-cassia-gown-in-dark-brown/dp/LCDE-WD857/,278,278,LCDE-WD857,L'Academie,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Suzie Dress,https://www.revolve.com/velvet-by-graham-spencer-suzie-dress-in-vixen/dp/VELVET-WD1561/,258,91,VELVET-WD1561,Velvet by Graham & Spencer,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
Gigi Mini Dress,https://www.revolve.com/posse-gigi-mini-dress-in-black/dp/PSSE-WD9/,375,192,PSSE-WD9,Posse,Women,Western,Dresses and Jumpsuits,Dresses,Clothing,https://www.revolve.com/content/products/lazyLoadProductsRevolve?dresses
